Iteration,TimeElapsed(seconds)
515,1701874504.392947197
516,1701874504.395339966
517,1701874504.397769451
518,1701874504.400174141
519,1701874504.402592421
520,1701874504.405021906
521,1701874504.407428026
522,1701874504.409855843
523,1701874504.412272692
524,1701874504.414710283
525,1701874504.417146444
526,1701874504.419540882
527,1701874504.421952009
528,1701874504.424383163
529,1701874504.426803827
530,1701874504.429226398
531,1701874504.431637764
532,1701874504.434125662
533,1701874504.436529875
534,1701874504.438925743
535,1701874504.441357851
536,1701874504.44375968
537,1701874504.446187973
538,1701874504.448623896
539,1701874504.451056957
540,1701874504.453471899
541,1701874504.456012011
542,1701874504.458432436
543,1701874504.460836411
544,1701874504.463261127
545,1701874504.465712309
546,1701874504.468103647
547,1701874504.470549107
548,1701874504.473000288
549,1701874504.47539115
550,1701874504.477820158
551,1701874504.480237007
552,1701874504.482659101
553,1701874504.485076427
554,1701874504.487494469
555,1701874504.489912748
556,1701874504.492297411
557,1701874504.494784355
558,1701874504.497215748
559,1701874504.499632597
560,1701874504.502060175
561,1701874504.504491091
562,1701874504.506886482
563,1701874504.509323597
564,1701874504.511730433
565,1701874504.514138222
566,1701874504.516531944
567,1701874504.518928051
568,1701874504.52136755
569,1701874504.523776054
570,1701874504.526193857
571,1701874504.528645992
572,1701874504.531101465
573,1701874504.533510923
574,1701874504.535941124
575,1701874504.538386583
576,1701874504.54078269
577,1701874504.54318738
578,1701874504.545609951
579,1701874504.548009634
580,1701874504.550425529
581,1701874504.552819729
582,1701874504.55523634
583,1701874504.557658195
584,1701874504.560074329
585,1701874504.562481165
586,1701874504.564913034
587,1701874504.56735611
588,1701874504.569785833
589,1701874504.572183371
590,1701874504.574612617
591,1701874504.577014208
592,1701874504.579411745
593,1701874504.58184576
594,1701874504.584237099
595,1701874504.586650848
596,1701874504.589060068
597,1701874504.591469049
598,1701874504.593922853
599,1701874504.596316576
600,1701874504.598744392
601,1701874504.601149559
602,1701874504.60356307
603,1701874504.606000662
604,1701874504.608453751
605,1701874504.61087966
606,1701874504.61329937
607,1701874504.615711212
608,1701874504.6181674
609,1701874504.620574474
610,1701874504.622979164
611,1701874504.625417233
612,1701874504.627882957
613,1701874504.630309105
614,1701874504.632706642
615,1701874504.635112047
616,1701874504.637512684
617,1701874504.63993907
618,1701874504.642387152
619,1701874504.644793272
620,1701874504.647209883
621,1701874504.649607182
